SampleId,A_AL_CO,A_AL_M3,A_AL_RT,A_B_CO,A_B_M3,A_CA_CO,A_CA_M3,A_CA_RT,A_CEC_CO,A_CLAY_MI,A_CN_OF,A_CU_CO,A_CU_M3,A_CU_RT,A_C_IF,A_C_OF,A_C_RT,A_DENSITY_SA,A_EC_WA,A_FE_CO,A_FE_M3,A_FE_RT,A_K_CO,A_K_M3,A_K_RT,A_MG_CO,A_MG_M3,A_MG_RT,A_MN_CO,A_MN_M3,A_MN_RT,A_NA_CO,A_NA_M3,A_NA_RT,A_NI_RT,A_N_RT,A_PB_RT,A_PH_KCL,A_PH_WA,A_P_CO,A_P_M3,A_P_RT,A_SAND_MI,A_SILT_MI,A_SI_RT,A_S_CO,A_S_M3,A_S_RT,A_ZN_CO,A_ZN_M3,A_ZN_RT
sample_0,0.00245143,656.58324,36.5272631,0.04204982,1.78601,259.8271107,3970.83479,11.78571429,250.2350589,15.4,10.32594937,0.000693916,1.6259,15.7,0.010202885,33.29201354,30.49642,1.126,9.7,0.000789606,250.08651,30.6993007,5.578868301,263.03481,13.02904564,54.34666761,559.83536,3.43787696,0.103745837,129.84642,1657.629744,0.38729452,7.204,6.639465875,24.8,3.22411,10.2,6.31,7.56,0.071727045,54.13404,0.838427948,50.4,34.1,327.7232352,2.185206359,22.22355,0.156,0.001104709,5.42225,121.0
sample_1,22.3148792,1295.603665,137.5330863,0.002302984,0.083535538,10.72403557,263.4619165,0.071428571,81.24878628,68.28560271,11.13333333,0.00680566,2.171155191,108.8,0.010288625,15.46380373,15.40207198,0.88478,1.5,0.001629191,27.58002931,144.8951049,1.236478284,81.7967972,0.497925311,7.185477323,95.80194878,1.749095296,0.940219031,38.81487891,697.1340046,0.052976462,2.057772021,1.038575668,319.7,1.388964407,26.3,4.09,5.04,0.00082956,0.010288625,0.742358079,0.085238962,31.62915833,153.3894343,0.000534319,0.010288625,0.24,0.021110582,0.706102911,110.2
sample_10,11.94503248,1311.71314,66.70195871,0.00354721,0.13794,1.646572458,29.24823,0.01,21.29588967,32.8,24.4,0.000137304,0.26322,12.1,0.010100632,8.625939485,8.605738221,1.032,0.6,0.044141703,43.40069,22.86713287,0.372259234,12.77998,1.576763485,0.71434558,6.85515,0.1,0.104089739,3.00538,10.0,0.078796639,1.16979,1.59495549,7.0,0.35352211,2.9,4.28,5.61,0.00042254,0.0101,0.021834061,50.4,16.8,301.542777,0.000272158,0.0101,0.001,0.00468362,0.09378,18.0
sample_100,0.0043,674.7808744,49.23239809,0.04311,0.886399646,204.62662,3330.019816,6.357142857,277.61374,28.5,12.35616,0.00117,4.958523184,21.3,0.01029,18.5663787,18.51491978,1.2114,3.4,0.00351,297.289307,28.39160839,3.68501,207.7278689,17.34439834,56.6327,597.1918547,5.367913148,0.07184,163.5935649,673.8962045,0.51374,10.19238952,7.856083086,45.4,1.502600494,21.1,5.42,6.58,0.01677,15.50719845,0.572052402,15.3,56.2,320.7106124,0.00233,0.010291784,0.084,0.00114,1.461887999,63.0
sample_1000,9.500089787,1193.299206,116.1990471,0.008410722,0.31390866,65.13736055,1279.370963,1.214285714,115.0925111,70.81409292,9.644578313,0.00579151,4.842568301,49.7,0.47305756,16.46445987,16.93751743,0.93068,7.2,0.040477935,357.4322918,31.67832168,1.304765701,66.37252683,0.746887967,36.1672314,400.5787499,1.145958987,1.315557088,35.96305812,77.45933385,2.986772354,62.2454954,1.18694362,157.3,1.707120761,41.2,3.9,5.1,0.001180409,1.911186836,0.218340611,0.085217459,29.10068962,225.2921926,0.0007603,0.01028386,0.2,0.026671046,1.064058316,85.3
sample_10000,3.759400917,1116.803279,89.99470619,0.037628334,0.148565574,37.07360752,621.9262295,2.142857143,105.5327869,34.0,11.32520325,0.001280214,0.385245902,1.2,0.68647541,14.27254098,14.95901639,1.04,4.2,0.005824976,165.9836066,40.55944056,4.181065819,256.147541,23.31950207,6.706707837,65.26639344,0.422195416,3.20778601,319.6721311,2610.379551,0.69524865,15.67622951,16.00148368,13.0,1.260245902,21.8,4.22,5.48,0.063016058,1.475409836,0.406113537,24.5,41.5,277.2323516,1.041717794,10.6557377,0.148,0.133206124,7.745901639,131.0
sample_10001,5.729546252,1269.382488,82.15987295,0.011217986,0.353978348,24.06459378,558.2311989,5.714285714,51.6710231,33.16302766,8.888349515,0.000887308,3.192158135,33.9,0.264452215,18.62353871,18.88799093,1.07422,3.6,0.004567883,233.8220533,39.79020979,3.688342546,235.6326571,22.57261411,6.612520556,87.71590656,9.650180941,0.326586804,27.81210467,697.1340046,0.172109817,4.713835182,7.418397626,57.5,2.095275246,52.4,4.32,6.04,0.013289262,66.58466202,1.179039301,17.09140634,49.745566,237.8214119,0.000803419,0.010171239,0.28,0.07060777,4.738911169,113.3
sample_10002,0.025272355,759.6726942,39.70354685,0.026259672,0.418224063,97.07027786,1929.487827,4.214285714,93.3427619,21.1,8.108108108,0.000893422,1.97999798,10.1,0.363673098,9.091827457,9.455500556,1.3,9.1,0.004045512,498.0301041,20.55944056,3.34455301,170.7243156,16.09958506,8.288831722,100.2121426,3.136308806,0.101869741,85.86725932,371.8048025,0.496538003,10.70815234,7.292284866,20.2,1.121325386,20.1,5.69,6.57,0.050389869,74.55298515,0.611353712,15.2,63.7,357.6437588,0.705730674,24.74997474,0.104,0.004697182,3.495302556,52.0
sample_10003,1.021629242,481.9639279,19.58708311,0.020021542,0.101202405,6.468975961,146.2925852,0.214285714,6.032064128,3.6,13.83870968,0.000681185,0.138276553,2.4,0.0,4.298597194,4.168336673,1.47,2.0,0.003099077,128.256513,5.034965035,1.044083398,53.90781563,22.82157676,2.682032522,33.46693387,0.1,0.14554561,9.238476954,170.4105345,0.078016752,1.763527054,3.37537092,8.8,0.310621242,17.9,4.49,5.65,0.033579396,5.150300601,0.091703057,71.7,24.6,398.3169705,0.540627163,10.42084168,0.004,0.005118834,0.467935872,14.0
sample_10004,0.052387668,663.7304107,58.23186871,0.05448273,1.679811533,176.3402782,4230.257093,8.285714286,154.6655741,20.5,9.48125,0.001853644,3.083068729,14.1,1.034518078,15.53825668,16.57277476,1.12,11.6,0.008423476,99.55956161,27.97202797,2.681368976,178.2239066,18.17427386,25.62285471,329.8166547,6.81544029,0.008576326,240.7047014,689.3880713,0.178659641,5.459387483,7.685459941,38.0,1.63884052,21.3,7.39,7.8,0.091171594,5.541329509,0.585152838,33.8,45.7,318.3730715,1.469456866,13.31557923,0.252,0.003603293,1.095974598,61.0
sample_10005,2.6606303,1132.441791,37.58602435,0.051381718,0.992018809,171.2140286,2403.4169,6.285714286,148.4667,19.9,10.82552083,0.000755444,2.063391709,19.5,0.010238926,42.56321397,42.35843546,1.028,7.4,0.006889963,287.5691886,20.55944056,18.97686897,605.336156,14.93775934,48.55541063,453.1868443,3.075995175,1.527198702,89.89771621,503.48567,0.272667349,5.080514444,6.609792285,23.2,3.931747454,15.5,4.47,5.59,0.433827607,166.9028535,1.03930131,31.3,48.8,321.1781206,0.001497409,32.0387081,0.184,0.124596442,12.35433274,93.0
sample_10006,0.044995613,1012.736237,106.9348862,0.036675922,0.718981101,86.8725376,1355.792933,1.857142857,98.91125719,80.0,11.21578947,0.00124781,1.561216105,16.9,0.297863599,21.88783895,22.18570255,0.94,6.0,0.005692433,68.81676253,65.03496503,6.59020829,212.6129827,2.157676349,33.40208604,316.3516845,0.66344994,0.788966649,100.9654889,619.6746708,0.142966665,3.440838127,1.735905045,22.3,1.951520131,29.8,5.38,6.38,0.061480195,5.700493016,0.6069869,7.9,12.1,233.2865825,1.838711648,10.68200493,0.22,0.002428757,0.815529992,71.0
sample_10007,0.03359,827.99653,23.29274,0.00846,0.16504,36.84068,653.77475,2.5,48.70185,7.9,13.06329,0.00032,0.98726,5.0,0.01007,10.39334,9.2251,1.35278,4.2,0.00066,314.2104,10.06993,4.82411,175.69598,13.52697,11.90585,138.46427,1.62846,0.10537,64.77874,348.567,0.06266,1.5603,5.40059,11.8,0.79561,19.9,5.66,6.82,0.05087,60.18639,0.34061,60.2,31.9,383.82421,0.33058,0.01007,0.001,0.00763,5.84192,48.0
sample_10008,0.139977755,779.5346963,12.70513499,0.025062309,0.253801994,41.53345591,929.6001611,1.857142857,63.34978346,5.8,13.44366197,0.000852685,5.79111693,18.4,0.0,19.22650821,19.17615067,1.23,3.4,0.003889243,534.7970591,4.055944056,1.235555003,66.06909054,4.730290456,12.68121849,152.0797663,0.784077201,0.056097393,19.94158526,123.9349342,0.468752547,10.17222278,4.465875371,8.0,1.430154094,24.8,5.49,6.2,0.318009003,539.832813,1.126637555,80.2,14.0,410.4721833,0.67846983,13.29439017,0.252,0.096124515,18.93443448,35.0
sample_10009,0.033634925,703.48188,34.4097406,0.034933084,1.26890671,165.1122936,3106.283626,6.857142857,174.6015633,13.1,11.76470588,0.001188514,1.086184144,10.0,0.0,18.27225662,17.83575272,0.97,4.5,0.0054082,82.83423003,13.84615385,1.417288549,72.98751396,16.51452282,16.6753691,189.8284438,3.317249698,0.028529472,74.10415186,379.5507359,0.293634242,5.278651914,6.980712166,17.6,1.553141813,16.5,6.31,6.85,0.058501092,15.02385545,0.497816594,14.1,72.8,372.6040206,0.943448602,10.55730383,0.188,0.00231035,0.530910567,32.0
sample_1001,0.101799117,48.5136251,42.35044997,0.105989576,4.51073493,465.9601493,10734.92981,54.35714286,471.7175888,25.6,11.29652997,0.003606041,2.869529315,18.6,16.10239472,36.96325351,53.06564822,1.21,18.2,0.016349949,67.50619323,22.37762238,3.841258814,195.0867052,12.36514523,53.1056321,798.926507,6.87575392,0.016646631,125.9289843,542.2153369,0.610618772,17.44426094,6.379821958,23.3,3.272089182,13.8,7.24,8.2,0.176956476,16.20561519,0.777292576,21.2,53.2,291.7251052,2.852212586,50.06193229,0.6,0.007009773,48.20396367,168.0
sample_10010,,,,,,,,,,,,,,,,103.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_10011,0.46813,1133.06795,11.11699,0.00975,0.29656,43.87224,927.48178,1.71428,50.45373,3.0,11.5872,0.00056,6.10367,13.5,0.77573,20.07845,20.85419,1.14736,4.8,0.00166,537.09238,3.21678,1.73812,80.97779,5.14522,9.76531,116.46423,0.24125,0.09199,14.59781,10.0,0.37288,6.87873,4.12462,7.9,1.73281,19.5,5.0,6.01,0.1956,502.95565,0.80349,77.7,19.3,398.78447,0.39456,22.7261,0.056,0.17855,21.05407,33.0
sample_10012,0.417536289,313.4388143,10.05823187,0.019638965,0.116162628,10.12362795,177.2481474,0.214285714,7.059883837,3.9,15.9,0.000668169,0.282395353,15.0,0.0,3.184458242,3.164430202,1.43,,0.004260909,129.1808532,5.944055944,0.485746791,19.52733827,0.829875519,2.70547171,29.04065692,0.1,0.196131554,16.52313239,30.98373354,0.021561502,0.501702383,2.856083086,6.8,0.200280393,11.1,4.91,,0.032880277,5.167234128,0.01,78.0,18.1,438.9901823,0.528434419,10.41458041,0.001,0.003277761,0.183256559,7.0
