SampleId,A_AL_CO,A_AL_M3,A_AL_RT,A_B_CO,A_B_M3,A_CA_CO,A_CA_M3,A_CA_RT,A_CEC_CO,A_CLAY_MI,A_CN_OF,A_CU_CO,A_CU_M3,A_CU_RT,A_C_IF,A_C_OF,A_C_RT,A_DENSITY_SA,A_EC_WA,A_FE_CO,A_FE_M3,A_FE_RT,A_K_CO,A_K_M3,A_K_RT,A_MG_CO,A_MG_M3,A_MG_RT,A_MN_CO,A_MN_M3,A_MN_RT,A_NA_CO,A_NA_M3,A_NA_RT,A_NI_RT,A_N_RT,A_PB_RT,A_PH_KCL,A_PH_WA,A_P_CO,A_P_M3,A_P_RT,A_SAND_MI,A_SILT_MI,A_SI_RT,A_S_CO,A_S_M3,A_S_RT,A_ZN_CO,A_ZN_M3,A_ZN_RT,outlier_score
sample_15308,0.040837806,350.0405844,40.23292747,0.225260401,7.122564935,104.0949197,3084.415584,9.928571429,216.112013,7.8,11.62727273,0.001446569,1.97849026,16.1,0.720373377,12.97686688,13.69724026,1.32,44.8,0.00656636,95.77922078,16.92307692,6.588090009,354.099026,15.18672199,47.54722435,779.2207792,5.729794934,0.006685511,372.362013,1340.046476,35.12996738,784.2938312,11.48367953,18.2,1.116071429,14.4,7.77,8.46,0.649573188,68.68912338,0.537117904,70.2,22.0,354.3712015,11.51815687,242.4918831,0.38,0.002811982,2.911931818,55.0,0.5105024797990597
sample_11363,0.02818025,463.3045008,61.40815246,0.047079121,1.652486513,113.651378,5139.942712,26.71428571,123.6830396,17.6,9.473684211,0.000995512,1.338209937,15.9,1.186140626,1.824831732,3.010972358,1.46,8.8,0.004531137,69.5463649,31.67832168,8.195973974,347.7318245,15.6846473,14.87827342,319.3455531,10.43425814,0.004613357,150.0417202,720.3718048,3.047149345,66.20084006,16.29821958,28.5,0.192621127,12.3,7.7,8.44,0.049096174,23.31729435,0.873362445,73.6,8.8,301.542777,0.790446768,25.54764425,0.508,0.001938275,0.63564972,78.0,0.4619514975339052
sample_14336,0.721690141,681.1797753,18.52832186,0.021530507,0.091091493,6.577178594,162.5200642,0.142857143,62.70064205,6.7,8.5,0.000732524,0.342094703,4.4,0.511637239,5.798555377,6.310192616,1.31,2.5,0.003328793,60.99518459,4.335664336,1.292514386,59.69101124,0.995850622,2.676895993,39.12520064,0.1,0.136955663,45.74638844,69.71340046,0.026575083,0.676163724,1.951038576,6.7,0.682182986,16.3,4.8,6.23,0.036048999,14.54654896,0.01,85.0,8.3,430.5750351,0.580700557,10.43338684,0.001,0.001635702,0.570826645,11.0,0.44482895092505537
sample_7174,0.829905964,815.2724327,21.17522499,0.026981971,0.525622848,144.9603666,2035.64918,4.714285714,128.6206198,6.6,15.66153846,0.000917997,1.914117885,9.2,0.0,20.6198096,19.50577274,1.21,2.9,0.004164391,249.1391533,8.461538462,2.963134917,104.3143609,11.78423237,9.120532205,85.07190602,1.266586248,1.013902809,43.34616164,294.3454686,0.437883555,6.886773344,5.229970326,12.9,1.316589022,12.0,4.67,5.69,0.071705353,116.4674904,0.506550218,47.6,45.8,384.7592333,0.726468877,12.96333806,0.001,0.003500825,0.885152927,22.0,0.41193535371079515
sample_3372,0.00326,466.3778,44.46797,0.01813,0.90639,309.03844,9946.42728,87.28571,370.12659,21.5,12.18309,0.00092,3.80817,12.2,25.47672,8.91839,34.39512,1.1486,11.6,0.00105,47.43201,18.74125,7.18309,344.49268,17.75933,15.50487,226.62557,4.16164,0.00106,394.14574,968.24167,0.79041,17.57021,7.52967,72.3,0.73203,28.7,7.34,8.08,0.00284,15.71098,0.47598,12.9,65.6,249.18186,0.00183,10.35965,0.004,0.00089,1.92685,50.0,0.38089652299201343
sample_2165,0.05541425,365.2065342,48.70301747,0.057654413,2.341067527,282.2325357,6190.823015,27.64285714,347.5184684,18.2,11.64705882,0.001961553,2.98616169,18.7,7.481011341,28.84195193,36.32296327,1.13,11.6,0.008928726,95.41150765,24.05594406,4.352699894,214.337738,15.10373444,45.80943062,622.2037249,9.58986731,0.009090744,273.644782,828.8148722,0.159308688,3.152637603,7.091988131,30.0,2.476329206,16.4,7.31,8.03,0.405121043,57.53823744,0.751091703,41.8,40.0,315.5680224,1.557596492,11.34117157,0.272,0.003819423,8.500676308,92.0,0.3647299878491767
sample_15475,0.002078769,828.4943047,98.62361038,0.043696497,2.465210352,130.1233098,2549.812393,3.428571429,112.1142055,52.682728,6.980952381,0.000588428,13.60607739,72.6,0.283986678,14.86873107,15.15271775,0.99054,9.9,0.000669572,228.796345,55.66433566,0.700661242,53.03056517,28.63070539,32.76088178,370.953225,9.047044632,0.122070012,200.0735222,2556.158017,1.408613867,29.3213437,10.3115727,70.8,2.129900085,72.2,5.77,7.48,0.02392285,5.89748272,0.655021834,3.810079076,43.50719292,254.8387097,0.001166358,39.98206287,0.24,0.001465241,2.770217974,150.9,0.35589051342324796
sample_18429,0.083954089,354.6541862,71.99576496,0.415631796,17.99271971,152.5087284,2360.894436,3.5,369.2147686,34.7,9.967455621,0.002972202,0.635465419,16.5,0.0,35.03900156,29.22516901,1.11,7.65,0.01349908,583.4633385,44.82517483,29.62875398,916.2766511,24.06639004,158.7052705,1424.856994,9.469240048,0.241940361,34.94539782,371.8048025,48.85846747,851.7940718,5.415430267,40.1,3.515340614,36.8,5.69,7.01,0.196432185,21.73686947,0.80349345,10.1,55.2,280.972417,3.049024157,49.40197608,0.524,0.010339967,3.744149766,103.0,0.35415773187961375
sample_13607,0.075952174,175.6548536,57.17310746,0.079060886,2.311248074,245.2216394,7868.515665,43.07142857,253.7236775,32.9,11.81456954,0.002689857,3.369286081,25.4,17.56548536,18.32562917,35.89111454,1.02,13.4,0.012230807,73.34360555,23.4965035,14.26267568,463.2768362,20.82987552,74.51999985,908.0636877,15.31966224,0.012452743,160.2465331,480.2478699,0.469157558,10.0770416,6.847181009,27.0,1.551104263,28.2,7.67,8.24,0.132325338,4.581407293,0.694323144,6.8,60.4,282.3749416,2.133637194,31.22752953,0.252,0.005216236,1.26348228,84.0,0.32134493291706534
sample_8270,0.00452,250.89069,34.93912,0.10443,4.91356,442.3458,7504.07925,19.85714,308.49786,17.6,10.58333,0.00128,2.40723,15.4,4.77345,44.32636,49.09981,1.026,266.1,0.00145,137.69457,19.44055,12.46592,420.89932,15.2697,166.46204,1741.14055,5.66948,0.00148,228.7395,565.45313,29.73449,534.96572,7.85608,26.1,4.18831,9.7,7.62,7.81,0.15427,21.51636,0.68122,22.8,59.6,316.50303,59.72218,2380.31868,2.72,0.00124,3.48741,87.0,0.32017703817837423
sample_17353,0.191188331,1097.128155,67.23133933,0.006341093,0.402372192,75.53376258,1938.585386,3.357142857,127.5204248,29.58359284,10.53680982,0.0005536,5.802223577,48.0,0.010277378,35.30279266,34.90197492,0.88238,5.1,0.001936055,556.1153775,28.32167832,3.88284433,238.9637356,17.42738589,18.69905229,255.8277506,0.1,2.340735699,143.623713,619.6746708,0.874573942,22.56313969,6.305637982,36.1,3.350425155,49.5,5.13,6.18,0.045186121,162.0365961,2.707423581,23.38759744,47.02880972,285.2734923,0.000733346,12.15755283,0.28,0.034870897,7.830898493,112.3,0.309432516276603
sample_7664,0.818884991,767.6828655,31.76283748,0.0228033,0.044270047,21.09831153,366.2340276,0.857142857,41.05040749,10.4,13.40425532,0.000775828,0.418553174,5.9,0.0,6.338665862,6.258174867,1.43,1.2,0.003532772,87.73518463,21.81818182,2.57707791,115.7058054,10.62240664,9.564267391,103.6321562,0.784077201,0.402908797,61.9780662,325.3292022,0.081402103,1.539390281,2.930267062,14.6,0.472884596,15.9,4.65,6.08,0.046289048,3.67240165,0.192139738,69.4,20.2,377.7466106,0.616284284,10.46382936,0.001,0.006832747,0.499044169,21.0,0.30303186630338763
sample_2865,0.029829326,267.2718104,11.11699312,0.030975596,0.142208775,31.69883443,661.6238023,0.857142857,94.09984871,10.6,12.47727273,0.00105387,0.630358043,3.8,0.0,5.537065053,4.679778114,1.39,3.0,0.004796293,80.38325769,3.916083916,3.0285367,130.1059002,1.493775934,22.28654281,408.4720121,5.247285887,0.051403427,61.62380232,69.71340046,0.027287455,0.80484115,3.50148368,7.2,0.443772063,11.5,6.52,7.34,0.051871538,1.563287948,0.01,83.9,5.5,449.2753623,0.836702792,10.48915784,0.001,0.002048615,0.230963187,8.0,0.296971543364806
sample_12375,0.061127639,558.8681152,42.8798306,0.063572226,0.413340071,74.34947471,1515.91713,9.071428571,214.249621,13.9,10.65853659,0.002162892,1.354219303,13.9,0.232440627,4.416371905,4.648812532,1.29,9.1,0.009828787,180.8994442,23.35664336,1.732608185,75.89691764,14.10788382,27.21925739,315.310763,4.221954162,0.051139415,77.91814047,549.9612703,0.30155997,7.367357251,12.39614243,19.8,0.414350682,6.4,7.01,7.74,0.106693516,29.91409803,0.340611354,59.7,26.4,361.8513324,4.45672576,15.96766043,0.096,0.00420444,3.759474482,43.0,0.29177083324364295
sample_2982,0.043766146,809.4132545,55.05558497,0.067164176,2.511608274,390.2974867,9719.29084,16.28571429,290.2068383,34.0,2.764150943,0.001551078,2.384972562,41.4,1.224145209,3.09202195,4.316167159,1.27,307.1,0.007056078,63.00126636,46.57342657,29.52168511,1720.135078,12.78008299,49.98190817,970.8737864,21.95416164,0.007184116,266.9902913,960.4957397,13.44955583,272.2667792,3.746290801,54.5,1.11861545,17.7,7.48,7.44,0.076352432,53.18699873,0.943231441,58.3,7.8,316.970547,1.230917228,44.00590967,0.16,0.003011908,1.941747573,72.0,0.29057121217247284
sample_8120,0.10074,540.6062337,12.70513,0.00852,0.183885471,22.22909,371.3904623,0.07142,31.05287,5.8,12.375,0.00026,2.127096949,13.2,0.01003,5.96304,5.953,1.2918,3.2,0.00032,97.12912024,12.37762,1.33449,58.45963854,0.49792,6.17641,61.30171425,0.1,0.63637,152.9089187,154.91866,0.02514,0.010038793,2.51483,8.2,0.48186,3.6,5.28,5.93,0.01069,20.67503362,0.18777,68.9,25.3,413.27723,0.23485,0.010038793,0.001,0.00842,1.675811598,14.0,0.28889076965894955
sample_10669,0.003659063,263.29553,57.27898359,0.045648497,3.096423621,258.3800771,7200.740265,24.5,399.7325339,27.94250034,8.680451128,0.001894776,5.589421939,39.8,4.239592462,47.40541886,51.64501132,1.04984,98.7,0.001178585,120.3861742,26.36363636,57.38127164,2340.675914,21.57676349,86.07485793,1121.265919,8.021712907,0.040306071,154.0348527,464.7560031,10.12462086,229.3706764,5.044510386,40.8,5.461169951,40.0,7.37,7.84,13.84756939,822.5505364,2.227074236,13.47257563,58.58492403,257.2697522,0.00205303,131.732877,0.72,0.001494997,27.93244663,162.3,0.283411986921152
sample_15071,0.00422,209.68184,46.05611,0.06783,3.28176,363.40004,13730.93643,70.57142,334.98519,45.0,11.36046,0.00119,3.09446,22.2,18.57383,10.25233,28.82617,0.9595,14.9,0.00375,24.11155,29.23076,6.26843,350.0036,9.9585,45.18613,748.30013,14.41495,0.00463,113.64296,735.86367,0.80552,23.67989,6.52077,69.9,0.90245,18.8,7.36,8.12,0.00367,39.68028,0.52401,35.9,19.0,256.66199,0.9924,111.00389,0.004,0.00116,1.26855,52.0,0.28265674475054253
sample_373,0.005243742,929.8529801,90.41821069,0.026728674,0.614399239,440.7767757,7753.101009,19.64285714,546.8377901,48.80742741,20.55333333,0.001484324,6.850833596,84.3,0.011003952,33.92518455,27.15775396,1.12834,4.0,0.001689011,166.8342108,64.54545455,14.81541988,587.8960331,9.294605809,142.6159786,1615.801487,8.2026538,0.092797678,164.0860411,1549.186677,2.214257901,49.96115119,4.747774481,36.1,1.650592826,29.6,5.65,7.12,0.004567874,2.018506941,0.174672489,22.69171854,28.50085405,252.0804114,0.002942164,16.84851301,0.24,0.001442686,0.642799458,81.3,0.28202077708748347
